"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2016"	"2016"	19	55416	Unreliable
	"Autauga County, AL"	"01001"	"2017"	"2017"	30	55504	54.1
	"Autauga County, AL"	"01001"	"2018"	"2018"	16	55601	Unreliable
	"Autauga County, AL"	"01001"	"2019"	"2019"	30	55869	53.7
	"Autauga County, AL"	"01001"	"2020 "	"2020"	26	56145	46.3
	"Baldwin County, AL"	"01003"	"2016"	"2016"	68	208563	32.6
	"Baldwin County, AL"	"01003"	"2017"	"2017"	83	212628	39.0
	"Baldwin County, AL"	"01003"	"2018"	"2018"	94	218022	43.1
	"Baldwin County, AL"	"01003"	"2019"	"2019"	77	223234	34.5
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	177	229287	77.2
	"Barbour County, AL"	"01005"	"2016"	"2016"	10	25965	Unreliable
	"Barbour County, AL"	"01005"	"2017"	"2017"	14	25270	Unreliable
	"Barbour County, AL"	"01005"	"2018"	"2018"	Suppressed	24881	Suppressed
	"Barbour County, AL"	"01005"	"2019"	"2019"	Suppressed	24686	Suppressed
	"Barbour County, AL"	"01005"	"2020 "	"2020"	26	24589	105.7
	"Bibb County, AL"	"01007"	"2016"	"2016"	21	22643	92.7
	"Bibb County, AL"	"01007"	"2017"	"2017"	19	22668	Unreliable
	"Bibb County, AL"	"01007"	"2018"	"2018"	22	22400	98.2
	"Bibb County, AL"	"01007"	"2019"	"2019"	12	22394	Unreliable
	"Bibb County, AL"	"01007"	"2020 "	"2020"	26	22136	117.5
	"Blount County, AL"	"01009"	"2016"	"2016"	47	57704	81.5
	"Blount County, AL"	"01009"	"2017"	"2017"	38	58013	65.5
	"Blount County, AL"	"01009"	"2018"	"2018"	37	57840	64.0
	"Blount County, AL"	"01009"	"2019"	"2019"	42	57826	72.6
	"Blount County, AL"	"01009"	"2020 "	"2020"	57	57879	98.5
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	10362	Suppressed
	"Bullock County, AL"	"01011"	"2017"	"2017"	Suppressed	10309	Suppressed
	"Bullock County, AL"	"01011"	"2018"	"2018"	Suppressed	10138	Suppressed
	"Bullock County, AL"	"01011"	"2019"	"2019"	Suppressed	10101	Suppressed
	"Bullock County, AL"	"01011"	"2020 "	"2020"	Suppressed	9976	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	Suppressed	19998	Suppressed
	"Butler County, AL"	"01013"	"2017"	"2017"	10	19825	Unreliable
	"Butler County, AL"	"01013"	"2018"	"2018"	15	19680	Unreliable
	"Butler County, AL"	"01013"	"2019"	"2019"	Suppressed	19448	Suppressed
	"Butler County, AL"	"01013"	"2020 "	"2020"	32	19504	164.1
	"Calhoun County, AL"	"01015"	"2016"	"2016"	71	114611	61.9
	"Calhoun County, AL"	"01015"	"2017"	"2017"	87	114728	75.8
	"Calhoun County, AL"	"01015"	"2018"	"2018"	69	114277	60.4
	"Calhoun County, AL"	"01015"	"2019"	"2019"	73	113605	64.3
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	147	113469	129.6
	"Chambers County, AL"	"01017"	"2016"	"2016"	22	33843	65.0
	"Chambers County, AL"	"01017"	"2017"	"2017"	28	33713	83.1
	"Chambers County, AL"	"01017"	"2018"	"2018"	11	33615	Unreliable
	"Chambers County, AL"	"01017"	"2019"	"2019"	19	33254	Unreliable
	"Chambers County, AL"	"01017"	"2020 "	"2020"	39	32865	118.7
	"Cherokee County, AL"	"01019"	"2016"	"2016"	22	25725	85.5
	"Cherokee County, AL"	"01019"	"2017"	"2017"	13	25857	Unreliable
	"Cherokee County, AL"	"01019"	"2018"	"2018"	21	26032	80.7
	"Cherokee County, AL"	"01019"	"2019"	"2019"	14	26196	Unreliable
	"Cherokee County, AL"	"01019"	"2020 "	"2020"	38	26294	144.5
	"Chilton County, AL"	"01021"	"2016"	"2016"	15	43941	Unreliable
	"Chilton County, AL"	"01021"	"2017"	"2017"	20	44067	45.4
	"Chilton County, AL"	"01021"	"2018"	"2018"	22	44153	49.8
	"Chilton County, AL"	"01021"	"2019"	"2019"	22	44428	49.5
	"Chilton County, AL"	"01021"	"2020 "	"2020"	45	44397	101.4
	"Choctaw County, AL"	"01023"	"2016"	"2016"	Suppressed	12993	Suppressed
	"Choctaw County, AL"	"01023"	"2017"	"2017"	Suppressed	12945	Suppressed
	"Choctaw County, AL"	"01023"	"2018"	"2018"	Suppressed	12841	Suppressed
	"Choctaw County, AL"	"01023"	"2019"	"2019"	15	12589	Unreliable
	"Choctaw County, AL"	"01023"	"2020 "	"2020"	16	12418	Unreliable
	"Clarke County, AL"	"01025"	"2016"	"2016"	18	24392	Unreliable
	"Clarke County, AL"	"01025"	"2017"	"2017"	17	24083	Unreliable
	"Clarke County, AL"	"01025"	"2018"	"2018"	23	23920	96.2
	"Clarke County, AL"	"01025"	"2019"	"2019"	11	23622	Unreliable
	"Clarke County, AL"	"01025"	"2020 "	"2020"	38	23291	163.2
	"Clay County, AL"	"01027"	"2016"	"2016"	14	13492	Unreliable
	"Clay County, AL"	"01027"	"2017"	"2017"	Suppressed	13367	Suppressed
	"Clay County, AL"	"01027"	"2018"	"2018"	14	13275	Unreliable
	"Clay County, AL"	"01027"	"2019"	"2019"	Suppressed	13235	Suppressed
	"Clay County, AL"	"01027"	"2020 "	"2020"	25	13112	190.7
	"Cleburne County, AL"	"01029"	"2016"	"2016"	Suppressed	14924	Suppressed
	"Cleburne County, AL"	"01029"	"2017"	"2017"	10	14900	Unreliable
	"Cleburne County, AL"	"01029"	"2018"	"2018"	10	14987	Unreliable
	"Cleburne County, AL"	"01029"	"2019"	"2019"	Suppressed	14910	Suppressed
	"Cleburne County, AL"	"01029"	"2020 "	"2020"	22	14967	147.0
	"Coffee County, AL"	"01031"	"2016"	"2016"	24	51226	46.9
	"Coffee County, AL"	"01031"	"2017"	"2017"	16	51874	Unreliable
	"Coffee County, AL"	"01031"	"2018"	"2018"	26	51909	50.1
	"Coffee County, AL"	"01031"	"2019"	"2019"	21	52342	40.1
	"Coffee County, AL"	"01031"	"2020 "	"2020"	52	53230	97.7
	"Colbert County, AL"	"01033"	"2016"	"2016"	28	54216	51.6
	"Colbert County, AL"	"01033"	"2017"	"2017"	29	54500	53.2
	"Colbert County, AL"	"01033"	"2018"	"2018"	36	54762	65.7
	"Colbert County, AL"	"01033"	"2019"	"2019"	26	55241	47.1
	"Colbert County, AL"	"01033"	"2020 "	"2020"	59	55411	106.5
	"Conecuh County, AL"	"01035"	"2016"	"2016"	Suppressed	12395	Suppressed
	"Conecuh County, AL"	"01035"	"2017"	"2017"	Suppressed	12469	Suppressed
	"Conecuh County, AL"	"01035"	"2018"	"2018"	Suppressed	12277	Suppressed
	"Conecuh County, AL"	"01035"	"2019"	"2019"	15	12067	Unreliable
	"Conecuh County, AL"	"01035"	"2020 "	"2020"	20	11851	168.8
	"Coosa County, AL"	"01037"	"2016"	"2016"	11	10581	Unreliable
	"Coosa County, AL"	"01037"	"2017"	"2017"	Suppressed	10754	Suppressed
	"Coosa County, AL"	"01037"	"2018"	"2018"	Suppressed	10715	Suppressed
	"Coosa County, AL"	"01037"	"2019"	"2019"	Suppressed	10663	Suppressed
	"Coosa County, AL"	"01037"	"2020 "	"2020"	18	10650	Unreliable
	"Covington County, AL"	"01039"	"2016"	"2016"	30	37458	80.1
	"Covington County, AL"	"01039"	"2017"	"2017"	30	37092	80.9
	"Covington County, AL"	"01039"	"2018"	"2018"	23	36986	62.2
	"Covington County, AL"	"01039"	"2019"	"2019"	28	37049	75.6
	"Covington County, AL"	"01039"	"2020 "	"2020"	69	36930	186.8
	"Crenshaw County, AL"	"01041"	"2016"	"2016"	Suppressed	13913	Suppressed
	"Crenshaw County, AL"	"01041"	"2017"	"2017"	Suppressed	13871	Suppressed
	"Crenshaw County, AL"	"01041"	"2018"	"2018"	13	13824	Unreliable
	"Crenshaw County, AL"	"01041"	"2019"	"2019"	Suppressed	13772	Suppressed
	"Crenshaw County, AL"	"01041"	"2020 "	"2020"	13	13681	Unreliable
	"Cullman County, AL"	"01043"	"2016"	"2016"	46	82471	55.8
	"Cullman County, AL"	"01043"	"2017"	"2017"	60	82755	72.5
	"Cullman County, AL"	"01043"	"2018"	"2018"	61	83442	73.1
	"Cullman County, AL"	"01043"	"2019"	"2019"	59	83768	70.4
	"Cullman County, AL"	"01043"	"2020 "	"2020"	92	84515	108.9
	"Dale County, AL"	"01045"	"2016"	"2016"	23	49226	46.7
	"Dale County, AL"	"01045"	"2017"	"2017"	18	49226	Unreliable
	"Dale County, AL"	"01045"	"2018"	"2018"	25	48956	51.1
	"Dale County, AL"	"01045"	"2019"	"2019"	27	49172	54.9
	"Dale County, AL"	"01045"	"2020 "	"2020"	51	48959	104.2
	"Dallas County, AL"	"01047"	"2016"	"2016"	21	40008	52.5
	"Dallas County, AL"	"01047"	"2017"	"2017"	23	39215	58.7
	"Dallas County, AL"	"01047"	"2018"	"2018"	33	38310	86.1
	"Dallas County, AL"	"01047"	"2019"	"2019"	19	37196	Unreliable
	"Dallas County, AL"	"01047"	"2020 "	"2020"	46	36098	127.4
	"DeKalb County, AL"	"01049"	"2016"	"2016"	43	70900	60.6
	"DeKalb County, AL"	"01049"	"2017"	"2017"	45	71617	62.8
	"DeKalb County, AL"	"01049"	"2018"	"2018"	37	71385	51.8
	"DeKalb County, AL"	"01049"	"2019"	"2019"	37	71513	51.7
	"DeKalb County, AL"	"01049"	"2020 "	"2020"	121	71658	168.9
	"Elmore County, AL"	"01051"	"2016"	"2016"	29	81799	35.5
