"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2016"	"2016"	30	55416	54.1
	"Autauga County, AL"	"01001"	"2017"	"2017"	44	55504	79.3
	"Autauga County, AL"	"01001"	"2018"	"2018"	34	55601	61.1
	"Autauga County, AL"	"01001"	"2019"	"2019"	36	55869	64.4
	"Autauga County, AL"	"01001"	"2020 "	"2020"	51	56145	90.8
	"Baldwin County, AL"	"01003"	"2016"	"2016"	134	208563	64.2
	"Baldwin County, AL"	"01003"	"2017"	"2017"	131	212628	61.6
	"Baldwin County, AL"	"01003"	"2018"	"2018"	131	218022	60.1
	"Baldwin County, AL"	"01003"	"2019"	"2019"	116	223234	52.0
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	152	229287	66.3
	"Barbour County, AL"	"01005"	"2016"	"2016"	20	25965	77.0
	"Barbour County, AL"	"01005"	"2017"	"2017"	22	25270	87.1
	"Barbour County, AL"	"01005"	"2018"	"2018"	22	24881	88.4
	"Barbour County, AL"	"01005"	"2019"	"2019"	27	24686	109.4
	"Barbour County, AL"	"01005"	"2020 "	"2020"	26	24589	105.7
	"Bibb County, AL"	"01007"	"2016"	"2016"	19	22643	Unreliable
	"Bibb County, AL"	"01007"	"2017"	"2017"	19	22668	Unreliable
	"Bibb County, AL"	"01007"	"2018"	"2018"	32	22400	142.9
	"Bibb County, AL"	"01007"	"2019"	"2019"	18	22394	Unreliable
	"Bibb County, AL"	"01007"	"2020 "	"2020"	25	22136	112.9
	"Blount County, AL"	"01009"	"2016"	"2016"	40	57704	69.3
	"Blount County, AL"	"01009"	"2017"	"2017"	47	58013	81.0
	"Blount County, AL"	"01009"	"2018"	"2018"	43	57840	74.3
	"Blount County, AL"	"01009"	"2019"	"2019"	60	57826	103.8
	"Blount County, AL"	"01009"	"2020 "	"2020"	75	57879	129.6
	"Bullock County, AL"	"01011"	"2016"	"2016"	16	10362	Unreliable
	"Bullock County, AL"	"01011"	"2017"	"2017"	10	10309	Unreliable
	"Bullock County, AL"	"01011"	"2018"	"2018"	11	10138	Unreliable
	"Bullock County, AL"	"01011"	"2019"	"2019"	11	10101	Unreliable
	"Bullock County, AL"	"01011"	"2020 "	"2020"	16	9976	Unreliable
	"Butler County, AL"	"01013"	"2016"	"2016"	13	19998	Unreliable
	"Butler County, AL"	"01013"	"2017"	"2017"	12	19825	Unreliable
	"Butler County, AL"	"01013"	"2018"	"2018"	14	19680	Unreliable
	"Butler County, AL"	"01013"	"2019"	"2019"	20	19448	102.8
	"Butler County, AL"	"01013"	"2020 "	"2020"	28	19504	143.6
	"Calhoun County, AL"	"01015"	"2016"	"2016"	105	114611	91.6
	"Calhoun County, AL"	"01015"	"2017"	"2017"	134	114728	116.8
